,DAY_OF_MONTH,DAY_OF_WEEK,MONTH,ORIGIN,DEST,CRS_DEP_TIME,DEP_DELAY,CRS_ARR_TIME
0,1,5,1,SWF,MCO,1810,8,2110
1,1,5,1,LGB,OAK,2015,12,2132
2,1,5,1,JFK,PBI,805,2,1105
3,1,5,1,PBI,JFK,1716,11,2000
4,1,5,1,FLL,BDL,826,4,1116
5,1,5,1,LGA,PBI,720,243,1019
6,1,5,1,BOS,FLL,2040,12,4
7,1,5,1,MCO,PVD,2037,4,2309
8,1,5,1,JFK,JAX,1452,80,1735
9,1,5,1,JAX,JFK,1817,117,2030
10,1,5,1,BOS,LAX,1723,2,2058
11,1,5,1,LAX,BOS,1128,15,1949
12,1,5,1,BOS,DEN,725,3,1017
13,1,5,1,BOS,SEA,1934,6,2252
14,1,5,1,LGA,MCO,2100,4,2349
15,1,5,1,FLL,EWR,1322,19,1616
16,1,5,1,FLL,AUS,1558,157,1807
17,1,5,1,AUS,FLL,1145,24,1512
18,1,5,1,LGB,JFK,1359,3,2208
19,1,5,1,SLC,LGB,1857,1,1943
20,1,5,1,PBI,EWR,1100,4,1345
21,1,5,1,JFK,PBI,1810,8,2110
22,1,5,1,PBI,JFK,2145,31,17
23,1,5,1,LGA,PBI,1945,7,2245
24,1,5,1,FLL,BOS,1241,13,1549
25,1,5,1,JFK,MSY,1455,89,1736
26,1,5,1,MSY,JFK,1814,103,2159
27,1,5,1,JFK,HOU,1329,1,1639
28,1,5,1,HOU,JFK,1114,24,1529
29,1,5,1,FLL,BWI,825,9,1049
30,1,5,1,BOS,SEA,835,34,1155
31,1,5,1,BOS,PHX,1742,9,2145
32,1,5,1,BOS,SAN,800,3,1134
33,1,5,1,BOS,SFO,1640,3,2032
34,1,5,1,PBI,DCA,1309,3,1523
35,1,5,1,JFK,PBI,1259,20,1600
36,1,5,1,MCO,SYR,2005,1,2242
37,1,5,1,CLE,FLL,1459,24,1755
38,1,5,1,FLL,CLE,1115,21,1416
